StockName,StockCode,TypeBiz,MainProduct,OriginDate
동아지질,28100,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",2009-06-12
STX중공업,71970,일반 목적용 기계 제조업,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)",2009-05-15
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20
한세실업,105630,봉제의복 제조업,의류 완제품,2009-03-20
컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업","크라프트지,박엽지",2009-03-17
미원홀딩스,107590,기타 금융업,도료첨가제,2009-03-02
NAVER,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28
부국철강,26940,1차 철강 제조업,철강,2008-10-14
KB금융,105560,기타 금융업,-,2008-10-10
한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29
일진전기,103590,절연선 및 케이블 제조업,,2008-08-01
풍산,103140,1차 비철금속 제조업,,2008-07-30
LG이노텍,11070,전자부품 제조업,기타 전자부품 제조업,2008-07-24
명문제약,17180,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",2008-06-30
동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,,2008-06-23
쌍방울,102280,봉제의복 제조업,,2008-06-10
LG유플러스,32640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21
비티원,101140,생활용품 도매업,"신발,의류,스포츠용품 도매,제조",2008-04-02
아시아나항공,20560,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",2008-03-28
SBS미디어홀딩스,101060,텔레비전 방송업,지주회사,2008-03-24
S&TC,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22
진양홀딩스,100250,플라스틱제품 제조업,"투자,경영컨설팅",2008-02-15
엔케이,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24
한전KPS,51600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",2007-12-14
이아이디,93230,기타 전문 도매업,"무선통신기기부품,전시용 핸드폰모형기(ADM) 제조",2007-11-01
기신정기,92440,특수 목적용 기계 제조업,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역",2007-10-30
KSS해운,44450,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",2007-10-26
효성 ITX,94280,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",2007-10-25
